大陸,#genre#
CCTV-1 综合,http://live.dfj.sh:8443/s/Ab_Gmd6FZF1UHcCanbsjNvRr_qDGxtYakXQeBDa5oHj8X8uLZcHVd7grqiND1yKopdpupnkJY4GLJw_VfBbxh3l_5j3yWB0Y9emiX29OhWp85adFTJ9lotPuhoJbLrV5XOCt0FFmX5M8LZtIAdsqn3qqDh5896JLzVFrCsqtz_kGmTQaCNz_3vz0VECQjB_-LsqqAPb5LnzjuF1abGsR_MnjiHlX0r87xU3MWB-v_Zf3yxN_BV8dKjx9thY0KMGdWIyr2op-W4hRqdb3uGGekG2aWMCL_zCPjfbH_bJcuQx3epP4TUo4oO8.m3u8
CCTV-2 财经,http://live.dfj.sh:8443/s/Af8W5D929TkniqHlBvdPNVsEfrMYuyL1ZxStan8YF1QCKd99kN-dXqkQQYqErhqqJHLi3m31gAGJR6l7VN8q5RYoZc0x5CqUIPyiLoHGhRTukbuCQq-Aw1yTLNA0WKPEO8JojgC1seffoHd86liWUuY4XT1Uy5mWF2GTRm_2i1u-AMJCRCMGr0VW6fFaobPNKrWDfMdVBWFKsFG9wnhlA0cvxbqM-qtKX2Hg2iEViiaOgr4Ev4kxkCOOvcBDuiaY_mnOYQIp0SYjzXHXFRgXITkUg-9U-vJ3H6zQm4JZKJTV_o8HUeT8Qh8.m3u8
CCTV-3 综艺,http://live.dfj.sh:8443/s/AVSNu1woLw7g9-JWc8hIW7v6mtPCaTeInrFM79YRRJgzdzaCCKKQL76hrfy0UJr2hWJYP95IcZm06ec-BxoFJnTwZ7BpRi7ygsUwSXfNWZvchAB-ESTOl3iRylcJTPVjqVVhjpEwxwVpg2Md4HcyGV-VpojYNRCeu4bl_fQLbztkaQJqVwgsB8AXNlIj8wwyzCmoEq8EWvGQ5Umk5-V54eAr_54SSYHFpMiGFyOJG7MaexzsSmyNXiDkhxB-ZYk_m0LL1P_WSdHg5UWeTWIpriFtie8Rp0A4hKGA2JNlsc0p48OJJiZ8jNk.m3u8
CCTV-4 国际,http://live.dfj.sh:8443/s/AYDyX-iFFEKvwxwVZqOsgdGsOXrVTwOdoWVyXxwDJGij_ddlsoOoSz1SxSw0iBcKIuUbCom0psJ_zjPBIPiySvJLZimK9noKd1hhmO-PBRO2mkxHkhsDZvK3ZBaEHcV8nqlom7KALsSCwaIFHaGkFnUZWcuO0JFG2rfFQT0Ckm_leNztVrq-boXJb6CkWZV9o6oUlgumCY8b_Xx_wcCzjYoCMeQl0u9ZWfqxlUjxgYdGEQO65nWD9LilY5JIBLYgEkZU884dgwA1qxnkK1twQChdQOLbZksxCKim6LYnuSqKTVULn-cr8p_ZoA.m3u8
CCTV-5 体育,http://live.dfj.sh:8443/s/AS6vBtwqoftSWwaW3s8-p9yj0RRUMcD6fg4LVeUw8eNptAb60NwFOIT1enPzHlxFl3p9s7b37CviIT9qH7KJhNyEs7U7zGvxP0NOHUaJ_hfnBgg-M2aLRwAb1f9GTz57TEkzPYHV95NcwxHvGRfD8MyQ09-rG82lD55g0_rbfKaxA8kPGTT-5roXkHrF-w0Zva9j8a0I7LKmvtiko84XtSe7iwA1ZLvgj0C25_FSOrfBlILibEZcdw75BFyq-WReOzTFqzDB7N16o2EivjsKuFnSbwDcTlMGHDO9yll-gkaDx2qoMAVvPos.m3u8
CCTV-5+体育赛事,http://live.dfj.sh:8443/s/AR__aFA69nsyUyWT6MrY4_VJFdfHG-TlvcxhBIUrpvPjpyer1-WEE1bz6Ap5J31ra7fdohU_j6yfaNFS1SOnl5_d3seRhuRW0d-1EaGVRUH_K_Nkg4mvbjWMtTNUkxSGGFTxnA9Ak9uL6UHdEoDDsyyf7bl-s6Zh8kRnbFwTP1E_tUK-9rT4mi_D1cpW_pmw_c1OlQtvzkT5aOYHud2YsYnFWEcWBV-FNufAhkBrRZVWAr_bOv4msrpFkHM4FozHiKoZG38yoO7AkUMgBh9tIM63HbgQUsLbstRJTyr3aD6KOwBMMKgXXYM.m3u8
CCTV-6 电影,http://live.dfj.sh:8443/s/Aaqbm4JPf2sJwVyPr4t2TRvAWkhPStgoS6nAjGKB44zvmfG5jtOFvueO3q8jxXzCd2errChvMT53nK9Q1GS7SDPjny3S22WP-lL2Lg11zQsY-0UB6-dASjTY1EymVlo4-QqFFjwoRbMUvpktxHokeISoX8CvIW1I9vUveT_klOCmWVzRTgqqW0xelKowoV_0xkFUcgGMLXo2eWAdgKmBqKcgQzxuXqCN64HXuJWT7DqY3gCgoFUebXoWGiPQyp391lg9iyjKZlTjjK_zH-rZZqRadsU3gymK0pczCaq4HvYg8uipyfTYDPo.m3u8
CCTV-7 军事农业,http://live.dfj.sh:8443/s/AcPkSZ6FF9Dtmkk13NQ0VrlCCE_o54JQvJbTEIzyn7Vp3BXmr3DLaCvyUsNn3avnXxO9i1UcV85CvzuYBkQIzLEObuD4MPK5nkzdB1DIf-iXpUbMRvMUe1MX_N0ngYtfbBIQ58vuZpypRtxuHus9O141mufgAIt1ikPvwFf63Ej4sah1GsFpiAvzjmNBp1WdyKJkuZPn6x28dbeNKw4V4CD93luGWHWqwWaX6-n_6YtrVsHrwnvqIVL_nvTlHh8mkQC6MZteWzNCn2ClWK3U6DnppKpKSQbAAMdtc1M1UY7Ar1YaZtJoFhs.m3u8
CCTV-8 电视剧,http://live.dfj.sh:8443/s/AZFgVCwv7yx3IJ5x67sR8EPApwbbrGGwSR8LKT5nXDCBt6KtkSSufN_q184POu0QMs0hKHUuEf5ligvNGaEghOCaGp_MlmLsZqsX15i__HgY2zD0WvWlC-D3kjur4hvnKMxRKgMZesXt7sFuA-_T0K4e-yrK4sjnJ8AaijQt48NRtaDbBqfXc8oHj6lHO_JNV622Z0cPgOM-KKh2MNPchnNwHzIreUi29XM7Bw59Sc5KWxVCpQ9j_UKkEGH6YlFXhHil1kiPfuTY7j-7eu1BN5LLAALOhSpNI0j4iXLTVleUil3Fn8XG2tQ.m3u8
CCTV-9 记录,http://live.dfj.sh:8443/s/ASLRyfW_4lN_RWNym-pKemC2jUy9h0oy1rdIcfOUDbeYGNxSBiHklrdlwgjicU_c4cpgn9Qy_N4ahBZu5JCiDaqMKZWuHJWW1RtniMrUUqiW3amXFOlUOFkUTTAllgNyxKsBC5Ghj5VZdulawjbOQaTNgY2o2RmJxSfFhGLcDdIfm84vfw1MByuHFvFvlDod-RKgjacESAhCDL5toM-Hu-4XWHPpvP9wqxxdtFkzkauMbHlSfMLdDkZKYt1mwoALeJHrXwyQY3CjwLa-_5bT14j9cJ_3VgHvVxcaFNO7FOg8qm1v3XPoHG0.m3u8
